release_pos_x,release_pos_z,release_speed,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,effective_speed,release_spin_rate,release_extension,release_pos_y,pitch_number,spin_axis,pitch_name_4-Seam Fastball,pitch_name_Changeup,pitch_name_Curveball,pitch_name_Cutter,pitch_name_Knuckle Curve,pitch_name_Sinker,pitch_name_Slider,pitch_name_Split-Finger,balls_0,balls_1,balls_2,balls_3,strikes_0,strikes_1,strikes_2,outs_when_up_0,outs_when_up_1,outs_when_up_2,zone_1,zone_2,zone_3,zone_4,zone_6,zone_7,zone_8,zone_9,zone_11,zone_12,zone_13,zone_14,p_throws_L,p_throws_R,stand_L,stand_R
-2.51,6.37,78.1,0.64,-0.71,0.28,3.24,4.801015133529068,-113.62056750434242,1.463356780915742,4.64984835396786,21.631104504930565,-38.81056804212247,77.5,2323,6.0,54.52,1,36,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
3.61,5.61,96.2,0.98,1.23,0.13,3.26,-11.600485564112413,-139.53009914832256,-3.448783585848432,15.382124226899654,31.988211372340107,-15.4570242144121,97.3,2401,7.2,53.35,5,125,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3.74,5.45,95.7,0.87,1.14,-0.04,1.58,-12.061769908061956,-138.66995504474178,-7.228771496347331,13.915990729195746,30.21839078486921,-15.99568362249394,96.7,2377,7.1,53.44,4,121,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
3.63,5.48,95.9,1.16,0.92,0.66,1.35,-10.580712600378227,-139.06637458657843,-7.4462797505905,17.390238721017873,31.15528970484194,-18.68485019656956,96.9,2324,7.1,53.43,2,125,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
-2.46,6.24,93.9,-0.21,1.29,0.18,3.79,7.234200812337681,-136.5563329704699,-3.4210236385967105,-4.22896673793466,31.28441904483994,-15.529355650021422,93.2,1814,6.0,54.49,3,211,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
-2.26,6.33,93.1,-0.25,1.37,0.53,3.67,7.641439866999078,-135.296224983582,-3.980374398040607,-4.909359830611139,32.138885710725326,-14.686154353400394,92.2,1925,6.0,54.5,2,210,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
-2.49,6.3,79.8,0.41,-0.69,-0.61,3.38,3.3494878852594825,-116.16715117045035,1.617823376672618,3.060561444536604,22.900300559393468,-38.95835299905901,79.2,2381,6.0,54.53,1,48,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-2.91,6.21,93.5,-0.55,1.17,0.87,2.17,10.866273252815272,-135.56790596734103,-7.166957793171518,-9.171023515430242,28.88022796715628,-16.25466931415111,92.8,1884,6.0,54.5,4,223,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
-2.6,6.23,94.7,-0.56,1.17,0.57,1.9,9.47003855372099,-137.27680587865362,-8.121684373564793,-9.337693444985248,33.003040910170746,-15.618205309657194,93.8,1915,6.1,54.36,4,224,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
-2.66,6.21,78.5,0.75,-0.64,-1.03,1.7,2.131372590592937,-114.3009399342021,-1.7049878796162097,6.142357312823856,21.963990761937858,-37.699166787520745,77.9,2404,5.9,54.6,1,40,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
-2.65,6.19,94.3,-0.68,1.05,0.45,1.4,9.476482256301674,-136.82614763295257,-8.992015655311672,-10.619230043138788,29.608779026658965,-17.12732786427791,93.6,1760,6.0,54.51,3,220,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
-2.39,6.23,94.5,-0.51,1.26,0.95,2.22,9.747680218194652,-137.14083152957832,-7.503267645467069,-8.550581078319265,30.36193407967332,-14.72933789421525,93.9,1875,6.1,54.41,1,220,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
-2.55,6.31,80.1,0.7,-0.84,-0.75,2.63,2.6412446635227176,-116.62610270725628,0.2185835995093443,5.787430914036932,24.05062099521381,-40.08498827710057,79.5,2507,6.0,54.45,1,41,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
-2.67,6.23,95.8,-0.54,1.19,-0.81,2.0,6.112392551228751,-139.3267590045901,-8.243674825290693,-8.413583337800562,29.907945506761468,-14.975283576074023,95.6,1988,6.1,54.38,1,213,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
-2.95,6.12,86.1,-0.16,0.09,-0.8,2.14,5.392434735041151,-125.32209595198486,-3.4157062723312586,-2.6902085689062853,24.15573263684106,-30.750128152137773,85.7,1309,5.9,54.58,3,242,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
